id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000027,清华大学体育部,https://www.thsports.tsinghua.edu.cn/,https://www.thsports.tsinghua.edu.cn/,www.thsports.tsinghua.edu.cn,,,,2026-08-09T19:19:24+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000027_清华大学体育部.md,2001,daf35949bd17696f76e03eb6d4bcbcf5ba7d678e41992f1d33371f8e72ce68b4
THU000028,清华大学医院,https://xyy.tsinghua.edu.cn/,https://xyy.tsinghua.edu.cn/,xyy.tsinghua.edu.cn,,,,2026-08-09T19:19:24+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000028_清华大学医院.md,4946,52764bdecaf7eee2904761ec77b4e5af37f3de4f0f66d0e300cc5a218c08bd9c
THU000029,办事指南-清华大学研究生院,https://www.tsinghua.edu.cn/yjsy/bszn.htm,https://www.tsinghua.edu.cn/yjsy/bszn.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:25+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000029_办事指南-清华大学研究生院.md,770,5c69654d205bcc1247edf86336232995f54747751e0c545789f856930f62178b
THU000030,学术交流-清华大学,https://www.tsinghua.edu.cn/kxyj/xsjl.htm,https://www.tsinghua.edu.cn/kxyj/xsjl.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:25+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000030_学术交流-清华大学.md,768,73ebf3100b2d9e2dc5e2ed4870a50eaf4dfcb73dc2873d0040a5b9a1e8b831fd
THU000031,招生就业-清华大学,https://www.tsinghua.edu.cn/zsjy.htm,https://www.tsinghua.edu.cn/zsjy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:26+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000031_招生就业-清华大学.md,867,d3c630ec3a722d4b962462a30dab47a72f8618b72fae16f8790b54be9b4dc7f3
THU000032,合作交流-清华大学,https://www.tsinghua.edu.cn/hzjl.htm,https://www.tsinghua.edu.cn/hzjl.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:27+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000032_合作交流-清华大学.md,1161,c5c4a7bf57f3adfd860db9031a037b2ad47d35e0ba9f765ff4ff832def5b5e7d
THU000033,国内合作-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz.htm,https://www.tsinghua.edu.cn/hzjl/gnhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:29+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000033_国内合作-清华大学.md,792,6775a60dbd54fc64307de6593b90706675db675c870921950de1fb6304aed923
THU000034,国际合作-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz.htm,https://www.tsinghua.edu.cn/hzjl/gjhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:31+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000034_国际合作-清华大学.md,885,ba8bdd0e2bcd88354a7ff22a8f9669074a4ac653cbe570e1111cf088a8882715
THU000035,走进清华-清华大学,https://www.tsinghua.edu.cn/zjqh.htm,https://www.tsinghua.edu.cn/zjqh.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:33+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000035_走进清华-清华大学.md,2809,10e01f3423a56badc6418eee520b9af381ce55a238cdfaf7e5192d1a5010e615
THU000036,学生活动-清华大学,https://www.tsinghua.edu.cn/zjqh/xyshh/xshdd.htm,https://www.tsinghua.edu.cn/zjqh/xyshh/xshdd.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:19:34+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000036_学生活动-清华大学.md,2272,22d979e8c596cd71ef0239de44c442e172c34c145132d62afd5defaa444a7cb0
