id,title,source_type,source_url,AI_v1_action,human_action,human_category,human_note
PORTAL000001,服务指南,Portal,https://93001.tsinghua.edu.cn/ServiceInformation/index.html,review,,,
PORTAL000002,清华大学党政办信息办公网,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=42363b582e60e9939006092be81e239b,review,,,
PORTAL000003,清华大学科研办公信息网,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=95634087412a73fd66d42761f412a63c,review,,,
PORTAL000004,信息资讯-国际合作与交流处/港澳台办公室,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9469640002,review,,,
PORTAL000005,马耳他（申根） - 清华大学信息门户,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=2c2c5d76cddc48c584fa87c6e18f7653,review,,,
PORTAL000006,境内延期F字访问签证办事指南 - 清华大学信息门户,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=954a57c2de9a449bb1d162fb15acc5e5,review,,,
PORTAL000007,办事程序,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b94a0f20008,review,,,
PORTAL000008,清华大学医院,Portal,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9ebee10018,review,,,
PORTAL000009,2025年清华大学后勤技能标兵——房亚哲-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6845.htm,review,,,
PORTAL000010,2025年清华大学后勤服务标兵——李英男-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6844.htm,review,,,
PORTAL000011,2024年清华大学后勤服务标兵--申艳霞-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6501.htm,review,,,
PORTAL000012,校医院-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1040/5762.htm,reject,,,
PORTAL000013,校医院开展爱眼日义诊活动-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1042/6882.htm,reject,,,
PORTAL000014,2023年度校级先进工作者——聂庆东-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6853.htm,review,,,
PORTAL000015,疫苗接种-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/ymjz.htm,review,,,
PORTAL000016,校医院9价HPV、乙肝疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6805.htm,review,,,
PORTAL000017,校医院自费9价HPV、乙肝疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6763.htm,review,,,
PORTAL000018,10月份校医院自费流感疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6696.htm,review,,,
PORTAL000019,9月份校医院自费流感疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6650.htm,review,,,
PORTAL000020,校医院9价HPV疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6562.htm,review,,,
PORTAL000021,校医院第一针九价HPV疫苗预约接种通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6463.htm,review,,,
PORTAL000022,专家就诊通知-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/zjjztz1.htm,review,,,
PORTAL000023,清华大学医院联合本草小象开展大暑顺时养生主题活动-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1042/6900.htm,reject,,,
PORTAL000024,健康服务零距离 | 清华大学社区卫生服务中心开展“世界家庭医生日”系列活动-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1042/6872.htm,review,,,
PORTAL000025,2025年度校级先进工作者——胡艳侠-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6866.htm,review,,,
PORTAL000026,2024年清华大学后勤技能标兵--李莉-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1039/6500.htm,review,,,
PORTAL000027,校医院成人自费疫苗接种指南-清华大学医院,Portal,http://xyy.tsinghua.edu.cn/info/1057/6757.htm,review,,,
THU000001,清华大学,Public,https://www.tsinghua.edu.cn/,approve,,,
THU000002,访客-清华大学,Public,https://www.tsinghua.edu.cn/fk.htm,approve,,,
THU000003,清华大学教育基金会,Public,http://www.tuef.tsinghua.edu.cn/,approve,,,
THU000004,Tsinghua University,Public,https://www.tsinghua.edu.cn/en,approve,,,
THU000005,清华新闻-清华大学,Public,https://www.tsinghua.edu.cn/news.htm,approve,,,
THU000010,清华大学图书馆,Public,http://www.lib.tsinghua.edu.cn/,approve,,,
THU000013,统计资料-清华大学,Public,https://www.tsinghua.edu.cn/xxgk/tjzl.htm,approve,,,
THU000022,科研项目-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/kyxm.htm,approve,,,
THU000023,科研机构-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/kyjg.htm,approve,,,
THU000024,科研合作-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/kyhz.htm,approve,,,
THU000027,清华大学体育部,Public,https://www.thsports.tsinghua.edu.cn/,approve,,,
THU000028,清华大学医院,Public,https://xyy.tsinghua.edu.cn/,approve,,,
THU000029,办事指南-清华大学研究生院,Public,https://www.tsinghua.edu.cn/yjsy/bszn.htm,approve,,,
THU000030,学术交流-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/xsjl.htm,approve,,,
THU000031,招生就业-清华大学,Public,https://www.tsinghua.edu.cn/zsjy.htm,approve,,,
THU000032,合作交流-清华大学,Public,https://www.tsinghua.edu.cn/hzjl.htm,approve,,,
THU000033,国内合作-清华大学,Public,https://www.tsinghua.edu.cn/hzjl/gnhz.htm,approve,,,
THU000036,学生活动-清华大学,Public,https://www.tsinghua.edu.cn/zjqh/xyshh/xshdd.htm,approve,,,
THU000046,教学成果-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/bksjy/jxcg.htm,approve,,,
THU000047,特色项目-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/bksjy/tsxm.htm,approve,,,
THU000048,学术学位教育-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/yjsjy/xsxwjy.htm,approve,,,
THU000049,专业学位教育-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/yjsjy/zyxwjy.htm,approve,,,
THU000054,奖助体系-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/yjsjy/jztx.htm,approve,,,
THU000055,发展概况-清华大学,Public,https://www.tsinghua.edu.cn/jyjx/zxjy/fzgk.htm,approve,,,
THU000064,科研项目概况-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/kyxm/kyxmgk.htm,approve,,,
THU000074,国际会议-清华大学,Public,https://www.tsinghua.edu.cn/kxyj/xsjl/gjhy.htm,approve,,,
THU000091,教工活动-清华大学,Public,https://www.tsinghua.edu.cn/zjqh/xyshh/jghd.htm,approve,,,
THU000092,校园交通-清华大学,Public,https://www.tsinghua.edu.cn/zjqh/syxx/xyjt.htm,approve,,,
THU000093,周边交通-清华大学,Public,https://www.tsinghua.edu.cn/zjqh/syxx/zbjt.htm,approve,,,
THU000095,服务信息-清华大学,Public,https://www.tsinghua.edu.cn/zjqh/syxx/fwxx.htm,approve,,,
