id,title,url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,markdown_path,content_length,content_hash,depth,parent_url,anchor_text,crawl_status
PORTAL000001,服务指南,https://93001.tsinghua.edu.cn/ServiceInformation/index.html,https://93001.tsinghua.edu.cn/ServiceInformation/index.html,93001.tsinghua.edu.cn,,,,2026-08-09T20:00:13+08:00,校园生活,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000001_服务指南.md,8992,18b66017e94ab0ae1d87bb789f3a5ab907ee0e63c50b4be120971994fc7fd058,2,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1ba33d8c005e,服务指南,success
PORTAL000002,清华大学党政办信息办公网,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=42363b582e60e9939006092be81e239b,https://webvpn.tsinghua.edu.cn/https/77726476706e69737468656265737421e8ef439b69336153301c9aa596522b20e1a870705b76e399/oath/detail.jsp?boardid=2709&seq=177015,webvpn.tsinghua.edu.cn,,2026-06-03,,2026-08-09T20:13:27+08:00,校园通知,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000002_清华大学党政办信息办公网.md,591,60f1ce48dc5922bf002b33d82fcbf6aebece228fc5dc450db2faeaec4d423158,1,https://info.tsinghua.edu.cn/,关于2026～2027学年度部分节假日放假调课事宜的通知,success
PORTAL000003,清华大学科研办公信息网,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=95634087412a73fd66d42761f412a63c,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421fbee589e2028701e7d018ae28c462a3be90b228bbda6767746aeb6/kybg/detail.jsp?boardid=34&seq=40677,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:13:46+08:00,校园通知,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000003_清华大学科研办公信息网.md,2169,64ec56435edd1be753ade97aed8d1ad9974deeb7f159a0d2e0b1157be1f38aef,1,https://info.tsinghua.edu.cn/,关于组织推荐2026年度大禹水利科学技术奖的通知,success
PORTAL000004,信息资讯-国际合作与交流处/港澳台办公室,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9469640002,https://webvpn.tsinghua.edu.cn/https/77726476706e69737468656265737421f9f9479369247b59700f81b9991b2631506205de/f/info/xxfb_fg/xnzx/template/departmentMore?lmid=LM_BM_253_BSZN&lydw=253,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:13:56+08:00,校园办事,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000004_信息资讯-国际合作与交流处_港澳台办公室.md,40236,92c07df62f8739b2e6e10ad2c77c227684074163ade3100bbafc0026a95c7173,1,https://info.tsinghua.edu.cn/,出境指南,success
PORTAL000005,马耳他（申根） - 清华大学信息门户,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=2c2c5d76cddc48c584fa87c6e18f7653,https://webvpn.tsinghua.edu.cn/https/77726476706e69737468656265737421f9f9479369247b59700f81b9991b2631506205de/f/info/xxfb_fg/xnzx/template/detail?xxid=2c2c5d76cddc48c584fa87c6e18f7653,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:14:08+08:00,校园办事,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000005_马耳他（申根） - 清华大学信息门户.md,836,7ee83397e6c54c5a6aeeb61e63747bb58831c5d8cc962d746b491da7a1c19bf8,2,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9469640002,"马耳他（申根）

公务护照（绿皮）免签，但需通过派出办开具出境证明。 持公务普通护照申办马耳他签证所需材料： 温馨提示：1.申请人根据预约时间到使馆留取指纹时，马耳他驻华大使有接见申请人的可能，请注意着装；2.申请人将签证材料送到派出办后第3个工作日材料送进使馆，请在材料进馆当日，将申请人工作单位英文简介以及邀请信（英文版）发送至使馆邮箱：dan.lu@gov.mt 派出办提供： 1. 清华大学因公出国（境）任务批件原件 1 份； 2. 中、英文照会。 申请人提供： 1. 赴马耳他录指纹预约材料： （1）若未曾在申根国录过指纹，请填写赴马耳他录指纹预约申请表 2 份（附件1）； （2）若近 5",success
PORTAL000006,境内延期F字访问签证办事指南 - 清华大学信息门户,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=954a57c2de9a449bb1d162fb15acc5e5,https://webvpn.tsinghua.edu.cn/https/77726476706e69737468656265737421f9f9479369247b59700f81b9991b2631506205de/f/info/xxfb_fg/xnzx/template/detail?xxid=954a57c2de9a449bb1d162fb15acc5e5,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:14:35+08:00,校园办事,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000006_境内延期F字访问签证办事指南 - 清华大学信息门户.md,707,6104fcc6b664e88b917b188d083701068799e53fa9ddfb925661227536a35c38,2,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9469640002,"境内延期F字访问签证办事指南

根据《中华人民共和国出境入境管理法》及北京市公安局出入境管理局最新政策，持普通（因私）护照、F字访问签证入境者，可在境内申请延长停留期限，累计停留不得超过1年，且单次延长期限最长不超过180日（6个月）。详情可参考北京市公安局出入境管理大队政策，具体流程如下： 一、校内审批流程 （一）OA 报文 校内主请单位通过OA在线办公系统发送校内报文至国际处，报文正文为“关于为XX国籍XX先生/女士延期访问签证的申请”（可参考附件范例），报文须经本单位外事主管线上审核。 附件需上传： 1.护照首页扫描件 2.现行F字签证页扫描件 3.入境章页扫描件 （二）保密承诺 校内主",success
PORTAL000007,办事程序,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b94a0f20008,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421fffb45952936671e6a1b80a29f5d3634e5cdcd7ed98227/html/bszn/bscx.html,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:14:48+08:00,校园办事,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000007_办事程序.md,139,b56a15be3f5a39cf2a0b65478fe949203a44074e9d3922ac5e2931dd3a4361b4,1,https://info.tsinghua.edu.cn/,办事程序,success
PORTAL000008,清华大学医院,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9ebee10018,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e8ee58d23323615e79009cadd650272009fc13/index.htm,webvpn.tsinghua.edu.cn,,,,2026-08-09T20:15:00+08:00,校园生活,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000008_清华大学医院.md,4387,ccf41a5e679bf9e548fb5a746b2ac782723b574779e792597c3f1133e4d27939,1,https://info.tsinghua.edu.cn/,就医指南,success
PORTAL000009,2025年清华大学后勤技能标兵——房亚哲-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6845.htm,http://xyy.tsinghua.edu.cn/info/1039/6845.htm,xyy.tsinghua.edu.cn,,2026-04-01,,2026-08-09T20:15:09+08:00,校园生活,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000009_2025年清华大学后勤技能标兵——房亚哲-清华大学医院.md,273,a2aea165e8b5d1600df1b4ad93d76f31ab02ef740cd1df3967d172382a30c092,2,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9ebee10018,"2025年清华大学后勤技能标兵——房亚哲

自2016年调入校医院以来，她始终坚守在临床检验一线，以医者初心守护师生健康。工作中，她严谨细致、精益求精，凭借扎实的专业功底，熟练掌握临床检验、生化免疫、分子诊断等各项技术，严守操作规范与质控标准，精准高效地完成每一份标本检测，确保数据准确、报告及时。作为检验科血库工作的负责人，她从质量管理着手，完善程序文件，规范操作流程，持续提升血库检测能力，筑牢临床用血安全防线。匠心守初心，笃行担使命，她以...",success
PORTAL000010,2025年清华大学后勤服务标兵——李英男-清华大学医院,http://xyy.tsinghua.edu.cn/info/1039/6844.htm,http://xyy.tsinghua.edu.cn/info/1039/6844.htm,xyy.tsinghua.edu.cn,,2026-04-01,,2026-08-09T20:15:16+08:00,校园生活,campus_authenticated,authenticated_portal,knowledge/01_raw_portal/PORTAL000010_2025年清华大学后勤服务标兵——李英男-清华大学医院.md,273,ee63c22fdc4184b1336ad500d9adf4735fadee8626ab72adb0ba4c4e8a055045,2,https://info.tsinghua.edu.cn/f/info/xxfb_fg/xnzx/template/detail?xxid=e58693887c1b91a4017c1b9ebee10018,"2025年清华大学后勤服务标兵——李英男

作为校医院的骨干药师，他十几年如一日扎根在药品调剂与管理第一线。药品申领、储存、分发，每一个环节他都严谨以待；门诊应急、患者咨询，每一次他都用心回应。他持续优化医院的药品管理流程和质量控制工作，不断提升服务质效。在做好日常工作的同时，他更致力于药学知识的传递。课堂上，他为学子带来用药常识；社区里，他用通俗语言为居民筑起安全屏障，让合理用药理念浸润人心。没有豪言壮语，只有默默坚守。李英男用专业与...",success
