id,title,source_url,final_url,domain,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,content_hash,url,source_domain,source_file,crawl_time,content_length
PUBEXP000001,清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:13+08:00,校园办事,public,public_expansion_v1,f99f9852c4fb101c1e858804965408008c00a8aba0bd318ebacc03408b696b1f,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000001_清华大学信息化技术中心.md,2026-08-12T19:41:13+08:00,609
PUBEXP000002,核心机房运行,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:14+08:00,校园办事,public,public_expansion_v1,46d9fe5581c1e3c6c90313e8dcbaeb9a026144bed8ca168d0bc02a31c66aeb5c,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000002_核心机房运行.md,2026-08-12T19:41:14+08:00,824
PUBEXP000003,校园网络运行,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:15+08:00,校园办事,public,public_expansion_v1,4201d8aac081d6852e0f0cbdabd21fe461b3e81c0917c40ecf0f6bfd652fc04e,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000003_校园网络运行.md,2026-08-12T19:41:15+08:00,1136
PUBEXP000004,网络信息安全,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:16+08:00,校园办事,public,public_expansion_v1,74756e13f410019a2f6975a3d5fa9436b7902fb501816ec3319d776406075d6f,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000004_网络信息安全.md,2026-08-12T19:41:16+08:00,877
PUBEXP000005,用户服务,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:17+08:00,校园相关,public,public_expansion_v1,f7851785bc7036ec832749579a89b913929942648d5d739e23a29f3932f2cdec,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000005_用户服务.md,2026-08-12T19:41:17+08:00,601
PUBEXP000006,教学环境服务,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:18+08:00,新生入校,public,public_expansion_v1,511e31a0a89b9605ca167f2803fa8187761518487ba399655c4c87fa80765d75,https://www.itc.tsinghua.edu.cn/ggfwsd/dfasf.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000006_教学环境服务.md,2026-08-12T19:41:18+08:00,1116
PUBEXP000007,信息资源服务,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:19+08:00,校园生活,public,public_expansion_v1,172f8d834bdb5576944ba60e168199525c952fc11355994b13c6b9934f9ab86f,https://www.itc.tsinghua.edu.cn/ggfwsd/xxzyfw.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000007_信息资源服务.md,2026-08-12T19:41:19+08:00,781
PUBEXP000008,清华大学保卫部,https://peace.tsinghua.edu.cn/,https://peace.tsinghua.edu.cn/,peace.tsinghua.edu.cn,,,2026-08-12T19:41:20+08:00,规章制度,public,public_expansion_v1,d45acb3818104ba363938f85538bcb35ab9cdc6e8a53e545bfb3d89bf1e54d23,https://peace.tsinghua.edu.cn/,peace.tsinghua.edu.cn,cleaned/PUBEXP000008_清华大学保卫部.md,2026-08-12T19:41:20+08:00,1437
PUBEXP000009,校园交通,https://peace.tsinghua.edu.cn/bszn/xyjt.htm,https://peace.tsinghua.edu.cn/bszn/xyjt.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:41:23+08:00,校园通知,public,public_expansion_v1,467b7c511e5c2b36dbd15b4fcbbbf5a07dec0193b5c270ceac806af2b56aec9b,https://peace.tsinghua.edu.cn/bszn/xyjt.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000009_校园交通.md,2026-08-12T19:41:23+08:00,496
PUBEXP000010,安全知识,https://peace.tsinghua.edu.cn/aqjs/aqzs.htm,https://peace.tsinghua.edu.cn/aqjs/aqzs.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:41:25+08:00,校园生活,public,public_expansion_v1,46edc89d047ed1a3ddcc0b74df33da7e6491002c80894715ef20ed802a382d8f,https://peace.tsinghua.edu.cn/aqjs/aqzs.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000010_安全知识.md,2026-08-12T19:41:25+08:00,510
