id,prompt_tokens,completion_tokens,total_tokens
PUBEXP000001,,,
PUBEXP000002,,,
PUBEXP000003,,,
PUBEXP000004,,,
PUBEXP000005,,,
PUBEXP000006,,,
PUBEXP000007,,,
PUBEXP000008,,,
PUBEXP000009,,,
PUBEXP000010,,,
PUBEXP000011,3151,960,4111
PUBEXP000012,5226,419,5645
PUBEXP000013,2534,651,3185
PUBEXP000014,2543,423,2966
PUBEXP000015,2516,743,3259
PUBEXP000016,3258,867,4125
PUBEXP000017,2814,620,3434
PUBEXP000018,2539,1028,3567
PUBEXP000019,2110,447,2557
PUBEXP000020,1824,557,2381
PUBEXP000021,3069,332,3401
PUBEXP000022,2176,737,2913
PUBEXP000023,3187,364,3551
PUBEXP000024,2495,439,2934
PUBEXP000025,2067,497,2564
PUBEXP000026,2170,844,3014
PUBEXP000027,2039,378,2417
PUBEXP000028,3036,723,3759
PUBEXP000029,1860,370,2230
PUBEXP000030,2528,575,3103
PUBEXP000031,5125,553,5678
PUBEXP000032,1896,577,2473
PUBEXP000033,1908,1164,3072
PUBEXP000034,1880,492,2372
PUBEXP000035,2746,385,3131
PUBEXP000036,2097,253,2350
PUBEXP000037,2618,497,3115
PUBEXP000038,2062,453,2515
PUBEXP000039,2147,770,2917
PUBEXP000040,1920,320,2240
PUBEXP000041,3358,415,3773
PUBEXP000042,2591,336,2927
PUBEXP000043,1790,491,2281
PUBEXP000044,2479,495,2974
PUBEXP000045,2490,871,3361
PUBEXP000046,3129,513,3642
PUBEXP000047,3104,1417,4521
PUBEXP000048,2894,598,3492
PUBEXP000049,2627,481,3108
PUBEXP000050,2599,630,3229
PUBEXP000051,2626,1080,3706
PUBEXP000052,2608,754,3362
PUBEXP000053,2575,1833,4408
PUBEXP000054,3030,767,3797
PUBEXP000055,2596,510,3106
PUBEXP000056,2572,655,3227
PUBEXP000057,2224,744,2968
PUBEXP000058,2819,444,3263
PUBEXP000059,2877,761,3638
PUBEXP000060,2837,429,3266
