id,title,category_hint,department,published_at,updated_at,source_url,final_url,domain,crawled_at,content_hash,markdown_path
THU000001,清华大学信息化技术中心,校园办事,,,,https://www.itc.tsinghua.edu.cn/,https://www.itc.tsinghua.edu.cn/,www.itc.tsinghua.edu.cn,2026-08-30T16:28:07+08:00,f99f9852c4fb101c1e858804965408008c00a8aba0bd318ebacc03408b696b1f,knowledge/01_raw_public/THU000001_清华大学信息化技术中心.md
THU000002,核心机房运行,校园办事,,,,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/asdfasdf.htm,www.itc.tsinghua.edu.cn,2026-08-30T16:28:10+08:00,86d5612d12ae0836e511a7b87fbef514f7293a256c7f9ad6930534a6c8c0e387,knowledge/01_raw_public/THU000002_核心机房运行.md
THU000003,清华大学图书馆,校园相关,,,,https://lib.tsinghua.edu.cn/,https://lib.tsinghua.edu.cn/,lib.tsinghua.edu.cn,2026-08-30T16:28:07+08:00,a70ba99c1eb169b8bc8598d9bf74a50990a66e8634cab953659a471b723c5e6d,knowledge/01_raw_public/THU000003_清华大学图书馆.md
THU000004,校园网络运行,校园办事,,,,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/xywlyx.htm,www.itc.tsinghua.edu.cn,2026-08-30T16:28:12+08:00,a4c83fcb05dfd4314e386b3af1748c117379f9127b9b64382e7e3bb0dd31b7e0,knowledge/01_raw_public/THU000004_校园网络运行.md
THU000005,网络信息安全,校园办事,,,,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/wlxxaq.htm,www.itc.tsinghua.edu.cn,2026-08-30T16:28:12+08:00,1ac656392376700c8ae692a398ac4e96d807765a96e03b5c744111ffac64a88f,knowledge/01_raw_public/THU000005_网络信息安全.md
THU000006,图书借还-清华大学图书馆,校园相关,,,,https://lib.tsinghua.edu.cn/jy/tsjh.htm,https://lib.tsinghua.edu.cn/jy/tsjh.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:18+08:00,41c11a0f961c1ed2fee21947a21ea4bc041760f03e5b55f48380462c6051aed1,knowledge/01_raw_public/THU000006_图书借还-清华大学图书馆.md
THU000007,清华大学图书馆座位管理系统,校园相关,,,,http://seat.lib.tsinghua.edu.cn/home/web/f_second,https://seat.lib.tsinghua.edu.cn/home/web/f_second,seat.lib.tsinghua.edu.cn,2026-08-30T16:28:14+08:00,01b90f9cebdfdbc0e6b7c8f953f05aa999a44dae0bb7d378c132c454559d63d6,knowledge/01_raw_public/THU000007_清华大学图书馆座位管理系统.md
THU000008,图书馆报告厅-清华大学图书馆,校园相关,,,,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,https://lib.tsinghua.edu.cn/kj/tsgbgt.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:22+08:00,40858b6ca41234e1d6ab30957903e104a45262aa82629557134d71e353ae81b2,knowledge/01_raw_public/THU000008_图书馆报告厅-清华大学图书馆.md
THU000009,关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆,校园通知,,,,https://lib.tsinghua.edu.cn/info/1071/8118.htm,https://lib.tsinghua.edu.cn/info/1071/8118.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:36+08:00,215e82b320f39d09c43d2427bb1e7a9e8df39aff8d13f0236e57f597d94049cf,knowledge/01_raw_public/THU000009_关于公布2026年暑假图书馆开馆时间的通知-清华大学图书馆.md
THU000010,专题书架：大学第一课-清华大学图书馆,新生入校,,,,https://lib.tsinghua.edu.cn/info/1073/8153.htm,https://lib.tsinghua.edu.cn/info/1073/8153.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:38+08:00,210c2cdc1d05b16bd2b75e5f40c6863b61ab9f45bf5ad21d738cdda11c4ad52a,knowledge/01_raw_public/THU000010_专题书架：大学第一课-清华大学图书馆.md
THU000011,清华大学图书馆与香港科技大学图书馆举办智慧服务创新实践线上交流分享会-清华大学图书馆,校园相关,,,,https://lib.tsinghua.edu.cn/info/1202/8151.htm,https://lib.tsinghua.edu.cn/info/1202/8151.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:40+08:00,4057a4a039b012f3632629c2fd9ce76fd9dbe2c51ae8ac55d34843406b04d065,knowledge/01_raw_public/THU000011_清华大学图书馆与香港科技大学图书馆举办智慧服务创新实践线上交流分享会-清华大学图书馆.md
THU000012,加拿大温莎大学图书馆终身馆员刘国英做客401学术论坛-清华大学图书馆,校园办事,,,,https://lib.tsinghua.edu.cn/info/1202/8150.htm,https://lib.tsinghua.edu.cn/info/1202/8150.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:42+08:00,0c90760833bf785d1f56cdf20bd5267b62aa117eb58752abca07dc491e8ee03d,knowledge/01_raw_public/THU000012_加拿大温莎大学图书馆终身馆员刘国英做客401学术论坛-清华大学图书馆.md
THU000013,清华大学图书馆服务宣传月,校园相关,,,,https://libmonth.lib.tsinghua.edu.cn/fwxcy2024,https://libmonth.lib.tsinghua.edu.cn/fwxcy2024,libmonth.lib.tsinghua.edu.cn,2026-08-30T16:28:45+08:00,07044f3dfd51b3dbb51cd2ca61f9b9a663e201a4ba9d1f9e70f57c85d5095e9b,knowledge/01_raw_public/THU000013_清华大学图书馆服务宣传月.md
THU000014,人文社科图书馆,校园通知,,,,https://lib.tsinghua.edu.cn/hs,https://lib.tsinghua.edu.cn/hs,lib.tsinghua.edu.cn,2026-08-30T16:28:48+08:00,87f7d5c9db094b40f1dc8ec9aa8dcb20c14d2e8a714054c7899aa36a3a751de4,knowledge/01_raw_public/THU000014_人文社科图书馆.md
THU000015,清华大学图书馆美术图书馆,校园通知,,,,https://lib.tsinghua.edu.cn/arts/index.htm,https://lib.tsinghua.edu.cn/arts/index.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:49+08:00,5f73ce74f8f6228ab1baaeef9b84dbd61dfc06079e65eb7defe2762ba660626b,knowledge/01_raw_public/THU000015_清华大学图书馆美术图书馆.md
THU000016,总馆、文科图书馆图书可全域预约啦！-清华大学图书馆,校园通知,,,,https://lib.tsinghua.edu.cn/info/1073/8129.htm,https://lib.tsinghua.edu.cn/info/1073/8129.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:52+08:00,c34c654dbf44cd8892f9e65cf2db65bdf1a27f1178089bcfb763a416407aa05d,knowledge/01_raw_public/THU000016_总馆、文科图书馆图书可全域预约啦！-清华大学图书馆.md
THU000017,清华大学法律图书馆,校园相关,Miso,,,https://lib.tsinghua.edu.cn/law/index.htm,https://lib.tsinghua.edu.cn/law/index.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:53+08:00,2005960e47af53e809b8118c067841f4cbcfa9411ed99b39a4105fb241c101fe,knowledge/01_raw_public/THU000017_清华大学法律图书馆.md
THU000018,开馆通知,校园通知,Miso,2026-06-02,,https://lib.tsinghua.edu.cn/law/info/1062/2152.htm,https://lib.tsinghua.edu.cn/law/info/1062/2152.htm,lib.tsinghua.edu.cn,2026-08-30T16:28:58+08:00,5e149013f42bccd38b5aaa01c3ab2d6395afd4323364b457f71bf153031b7983,knowledge/01_raw_public/THU000018_开馆通知.md
THU000019,特别关注,校园相关,Miso,2026-06-01,,https://lib.tsinghua.edu.cn/law/info/1060/2150.htm,https://lib.tsinghua.edu.cn/law/info/1060/2150.htm,lib.tsinghua.edu.cn,2026-08-30T16:29:00+08:00,bc27a420a165a3ddcfd1b21a077c3e5151061f58a4df48a895dabba5c12f532e,knowledge/01_raw_public/THU000019_特别关注.md
THU000020,用户服务,校园相关,,,,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,https://www.itc.tsinghua.edu.cn/ggfwsd/fsdf.htm,www.itc.tsinghua.edu.cn,2026-08-30T16:29:06+08:00,375485599e9a0e74b2bd4eb8213603432bd0d365b3f5ed0057592d8ac2ad8595,knowledge/01_raw_public/THU000020_用户服务.md
